PCIE,PCIE_0,PS5963
,PCIE_1,PS5021
,PCIE_2,PS5022
,PCIE_3,PS5025
,PCIE_4,PS5026
,PCIE_5,PS5027
,PCIE_6,PS5029
,PCIE_7,PT5033
,PCIE_8,PT1880
,PCIE_9,PS5033
,PCIE_10,PS5028
,PCIE_11,PS5037
,PCIE_12,PS5303_X3
USB,USB_0,PS2319
,USB_1,NA
,USB_2,NA
,USB_3,NA
,USB_4,NA
,USB_5,NA
,USB_6,NA
,USB_7,NA
,USB_8,NA
,USB_9,NA
,USB_10,NA
SD,SD_0,PS8229
,SD_1,NA
,SD_2,NA
,SD_3,NA
,SD_4,NA
,SD_5,NA
,SD_6,NA
,SD_7,NA
,SD_8,NA
,SD_9,NA
UFS,UFS_0,PS8325
,UFS_1,PS8321
,UFS_2,PS8133
,UFS_3,PS8363
,UFS_4,PT8365
eMMC,eMMC_0,PS2321
,eMMC_1,NA
,eMMC_2,NA
,eMMC_3,NA
,eMMC_4,NA
,eMMC_5,NA
,eMMC_6,NA
,eMMC_7,NA
,eMMC_8,NA
,eMMC_9,NA
,eMMC_10,NA
Other,Other_0,PT7260
,Other_1,PT6303
,Other_2,NA
,Other_3,NA
,Other_4,NA
,Other_5,NA
,Other_6,NA
